,Unnamed: 0,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand,CLASS,HANDLING_COST_BRIDGE,HANDLING_COST_AWAY,HANDLING_COST_BRIDGE_ON_BUSES,Stand_Take_Time_Away,Stand_Take_Time_Bridge,Stand_Leave_Time_Bridge,Stand_Leave_Time_Away,BRIDGE_CODE,ACTUAL_LEAVE,ACTUAL_TAKE,Стоимость размещения,Минимальная стоимость размещения,Тип обслуживания
0,328,D,17.08.2019 0:05,SU,1424,D,1,CEK,32A,158,151,115,Narrow_Body,1250,1495,1625,2019-08-16 23:00:00,2019-08-16 23:15:00,2019-08-17 00:05:00,2019-08-17 00:05:00,DD,2019-08-17 00:05:00,2019-08-16 22:53:00,1910,1850,Телетрап
1,914,D,17.08.2019 0:05,SU,1574,D,3,AAQ,320,140,69,18,Narrow_Body,1250,1495,1625,2019-08-16 23:00:00,2019-08-16 23:15:00,2019-08-17 00:05:00,2019-08-17 00:05:00,DD,2019-08-17 00:05:00,2019-08-16 23:02:00,1640,1550,Телетрап
2,41,A,17.08.2019 0:05,SU,1317,D,1,MMK,SU9,87,83,217,Regional,1000,1150,1250,2019-08-17 00:05:00,2019-08-17 00:05:00,2019-08-17 00:45:00,2019-08-17 00:55:00,DA,2019-08-17 01:00:00,2019-08-17 00:05:00,1600,1600,Автобусы
3,381,A,17.08.2019 0:05,SU,1543,D,1,AAQ,32A,158,146,124,Narrow_Body,1250,1495,1625,2019-08-17 00:05:00,2019-08-17 00:05:00,2019-08-17 00:55:00,2019-08-17 01:10:00,DA,2019-08-17 01:15:00,2019-08-17 00:05:00,1850,1850,Телетрап
4,48,D,17.08.2019 0:05,SU,1334,D,1,ARH,SU9,87,76,89,Regional,1000,1150,1250,2019-08-16 23:15:00,2019-08-16 23:25:00,2019-08-17 00:05:00,2019-08-17 00:05:00,DD,2019-08-17 00:05:00,2019-08-16 23:10:00,1465,1450,Автобусы
5,1052,A,17.08.2019 0:05,AF,1144,I,5,CDG,319,143,115,37,Narrow_Body,1250,1495,1625,2019-08-17 00:05:00,2019-08-17 00:05:00,2019-08-17 00:55:00,2019-08-17 01:10:00,IA,2019-08-17 01:10:00,2019-08-17 00:05:00,1700,1700,Телетрап
6,266,D,17.08.2019 0:10,SU,1222,D,1,GOJ,73H,158,127,114,Narrow_Body,1250,1495,1625,2019-08-16 23:05:00,2019-08-16 23:20:00,2019-08-17 00:10:00,2019-08-17 00:10:00,DD,2019-08-17 00:10:00,2019-08-16 23:00:00,1850,1850,Телетрап
7,921,D,17.08.2019 0:10,SU,1948,I,2,AKX,320,140,79,80,Narrow_Body,1250,1495,1625,2019-08-16 23:05:00,2019-08-16 23:20:00,2019-08-17 00:10:00,2019-08-17 00:10:00,ID,2019-08-17 00:10:00,2019-08-16 23:00:00,1825,1825,Автобусы
8,352,D,17.08.2019 0:10,SU,1478,D,3,ABA,73H,158,151,15,Narrow_Body,1250,1495,1625,2019-08-16 23:05:00,2019-08-16 23:20:00,2019-08-17 00:10:00,2019-08-17 00:10:00,DD,2019-08-17 00:10:00,2019-08-16 23:06:00,1670,1550,Телетрап
9,468,A,17.08.2019 0:10,SU,2097,I,3,BEG,73H,158,137,19,Narrow_Body,1250,1495,1625,2019-08-17 00:10:00,2019-08-17 00:10:00,2019-08-17 01:00:00,2019-08-17 01:15:00,IA,2019-08-17 01:10:00,2019-08-17 00:10:00,1550,1550,Телетрап
10,976,A,17.08.2019 0:10,SU,2469,I,3,BUD,320,140,125,23,Narrow_Body,1250,1495,1625,2019-08-17 00:10:00,2019-08-17 00:10:00,2019-08-17 01:00:00,2019-08-17 01:15:00,IA,2019-08-17 01:12:00,2019-08-17 00:10:00,1610,1550,Телетрап
11,783,A,17.08.2019 0:15,SU,1897,I,3,EVN,32B,183,147,22,Narrow_Body,1250,1495,1625,2019-08-17 00:15:00,2019-08-17 00:15:00,2019-08-17 01:05:00,2019-08-17 01:20:00,IA,2019-08-17 01:18:00,2019-08-17 00:15:00,1640,1550,Телетрап
12,331,A,17.08.2019 0:20,SU,1427,D,1,CEK,32A,158,155,113,Narrow_Body,1250,1495,1625,2019-08-17 00:20:00,2019-08-17 00:20:00,2019-08-17 01:10:00,2019-08-17 01:25:00,DA,2019-08-17 01:34:00,2019-08-17 00:20:00,1970,1850,Телетрап
13,149,A,17.08.2019 0:25,SU,31,D,1,LED,73H,158,119,89,Narrow_Body,1250,1495,1625,2019-08-17 00:25:00,2019-08-17 00:25:00,2019-08-17 01:15:00,2019-08-17 01:30:00,DA,2019-08-17 01:35:00,2019-08-17 00:25:00,1975,1850,Автобусы
14,806,A,17.08.2019 0:25,SU,2125,I,3,SKG,32B,183,165,26,Narrow_Body,1250,1495,1625,2019-08-17 00:25:00,2019-08-17 00:25:00,2019-08-17 01:15:00,2019-08-17 01:30:00,IA,2019-08-17 01:28:00,2019-08-17 00:25:00,1640,1550,Телетрап
15,797,A,17.08.2019 0:25,SU,2047,I,3,SPU,32B,183,159,20,Narrow_Body,1250,1495,1625,2019-08-17 00:25:00,2019-08-17 00:25:00,2019-08-17 01:15:00,2019-08-17 01:30:00,IA,2019-08-17 01:28:00,2019-08-17 00:25:00,1640,1550,Телетрап
16,750,D,17.08.2019 0:30,EO,563,D,3,OSW,E90,110,64,10,Regional,1000,1150,1250,2019-08-16 23:40:00,2019-08-16 23:50:00,2019-08-17 00:30:00,2019-08-17 00:30:00,DD,2019-08-17 00:30:00,2019-08-16 23:35:00,1390,1300,Автобусы
17,11,D,17.08.2019 0:35,SU,1132,D,1,AER,SU9,87,82,121,Regional,1000,1150,1250,2019-08-16 23:45:00,2019-08-16 23:55:00,2019-08-17 00:35:00,2019-08-17 00:35:00,DD,2019-08-17 00:35:00,2019-08-16 23:35:00,1600,1600,Телетрап
18,536,A,17.08.2019 0:35,SU,2535,I,3,OSL,73H,158,93,21,Narrow_Body,1250,1495,1625,2019-08-17 00:35:00,2019-08-17 00:35:00,2019-08-17 01:25:00,2019-08-17 01:40:00,IA,2019-08-17 01:39:00,2019-08-17 00:35:00,1670,1550,Телетрап
19,162,D,17.08.2019 0:40,SU,46,D,1,LED,73H,158,154,122,Narrow_Body,1250,1495,1625,2019-08-16 23:35:00,2019-08-16 23:50:00,2019-08-17 00:40:00,2019-08-17 00:40:00,DD,2019-08-17 00:40:00,2019-08-16 23:28:00,1910,1850,Телетрап
20,88,D,17.08.2019 0:40,SU,1428,D,1,MQF,SU9,87,78,88,Regional,1000,1150,1250,2019-08-16 23:50:00,2019-08-17 00:00:00,2019-08-17 00:40:00,2019-08-17 00:40:00,DD,2019-08-17 00:40:00,2019-08-16 23:45:00,1480,1450,Автобусы
21,691,D,17.08.2019 0:40,FV,6167,D,3,REN,73H,189,125,16,Narrow_Body,1250,1495,1625,2019-08-16 23:35:00,2019-08-16 23:50:00,2019-08-17 00:40:00,2019-08-17 00:40:00,DD,2019-08-17 00:40:00,2019-08-16 23:39:00,1580,1550,Телетрап
22,406,D,17.08.2019 0:40,SU,1638,D,3,OMS,32A,158,146,17,Narrow_Body,1250,1495,1625,2019-08-16 23:35:00,2019-08-16 23:50:00,2019-08-17 00:40:00,2019-08-17 00:40:00,DD,2019-08-17 00:40:00,2019-08-16 23:38:00,1610,1550,Телетрап
23,251,D,17.08.2019 0:45,SU,1196,D,1,KZN,73H,158,139,116,Narrow_Body,1250,1495,1625,2019-08-16 23:40:00,2019-08-16 23:55:00,2019-08-17 00:45:00,2019-08-17 00:45:00,DD,2019-08-17 00:45:00,2019-08-16 23:32:00,1940,1850,Телетрап
24,658,D,17.08.2019 0:45,N4,279,D,3,UFA,73H,189,152,14,Narrow_Body,1250,1495,1625,2019-08-16 23:40:00,2019-08-16 23:55:00,2019-08-17 00:45:00,2019-08-17 00:45:00,DD,2019-08-17 00:45:00,2019-08-16 23:42:00,1640,1550,Телетрап
25,663,D,17.08.2019 0:45,N4,477,I,2,EVN,73H,189,158,59,Narrow_Body,1250,1495,1625,2019-08-16 23:40:00,2019-08-16 23:55:00,2019-08-17 00:45:00,2019-08-17 00:45:00,ID,2019-08-17 00:45:00,2019-08-16 23:34:00,1880,1850,Телетрап
26,711,D,17.08.2019 0:50,RL,7745,I,2,PMI,738,189,188,58,Narrow_Body,1250,1495,1625,2019-08-16 23:45:00,2019-08-17 00:00:00,2019-08-17 00:50:00,2019-08-17 00:50:00,ID,2019-08-17 00:50:00,2019-08-16 23:39:00,1880,1850,Телетрап
27,708,D,17.08.2019 0:50,RL,7537,I,2,LCA,738,189,152,49,Narrow_Body,1250,1495,1625,2019-08-16 23:45:00,2019-08-17 00:00:00,2019-08-17 00:50:00,2019-08-17 00:50:00,ID,2019-08-17 00:50:00,2019-08-16 23:38:00,1910,1850,Телетрап
28,936,A,17.08.2019 0:55,SU,2147,I,3,AYT,320,140,122,24,Narrow_Body,1250,1495,1625,2019-08-17 00:55:00,2019-08-17 00:55:00,2019-08-17 01:45:00,2019-08-17 02:00:00,IA,2019-08-17 01:58:00,2019-08-17 00:55:00,1640,1550,Телетрап
29,785,D,17.08.2019 0:55,SU,1942,I,2,ALA,32B,183,173,57,Narrow_Body,1250,1495,1625,2019-08-16 23:50:00,2019-08-17 00:05:00,2019-08-17 00:55:00,2019-08-17 00:55:00,ID,2019-08-17 00:55:00,2019-08-16 23:42:00,1940,1850,Телетрап
30,775,D,17.08.2019 0:55,SU,1536,D,3,TOF,32B,183,171,12,Narrow_Body,1250,1495,1625,2019-08-16 23:50:00,2019-08-17 00:05:00,2019-08-17 00:55:00,2019-08-17 00:55:00,DD,2019-08-17 00:55:00,2019-08-16 23:51:00,1670,1550,Телетрап
31,208,A,17.08.2019 0:55,SU,1119,D,1,AER,73H,158,157,127,Narrow_Body,1250,1495,1625,2019-08-17 00:55:00,2019-08-17 00:55:00,2019-08-17 01:45:00,2019-08-17 02:00:00,DA,2019-08-17 02:10:00,2019-08-17 00:55:00,2000,1850,Телетрап
32,627,D,17.08.2019 1:00,SU,1482,D,3,KJA,333,296,278,13,Wide_Body,1500,1840,2000,2019-08-16 23:40:00,2019-08-17 00:00:00,2019-08-17 01:00:00,2019-08-17 01:00:00,DD,2019-08-17 01:00:00,2019-08-16 23:50:00,1800,1800,Телетрап
33,306,D,17.08.2019 1:00,SU,1382,D,1,HMA,73H,158,154,117,Narrow_Body,1250,1495,1625,2019-08-16 23:55:00,2019-08-17 00:10:00,2019-08-17 01:00:00,2019-08-17 01:00:00,DD,2019-08-17 01:00:00,2019-08-16 23:47:00,1940,1850,Телетрап
34,892,A,17.08.2019 1:00,BT,426,I,5,RIX,CS3,145,139,34,Narrow_Body,1250,1495,1625,2019-08-17 01:00:00,2019-08-17 01:00:00,2019-08-17 01:50:00,2019-08-17 02:05:00,IA,2019-08-17 02:05:00,2019-08-17 01:00:00,1700,1700,Телетрап
35,298,D,17.08.2019 1:05,SU,1306,D,1,OVB,73H,158,150,123,Narrow_Body,1250,1495,1625,2019-08-17 00:00:00,2019-08-17 00:15:00,2019-08-17 01:05:00,2019-08-17 01:05:00,DD,2019-08-17 01:05:00,2019-08-16 23:52:00,1940,1850,Телетрап
36,386,D,17.08.2019 1:05,SU,1562,D,1,IKT,73H,158,146,205,Narrow_Body,1250,1495,1625,2019-08-17 00:00:00,2019-08-17 00:15:00,2019-08-17 01:05:00,2019-08-17 01:05:00,DD,2019-08-17 01:05:00,2019-08-16 23:55:00,1945,1850,Автобусы
37,1056,D,17.08.2019 1:10,EO,1805,I,2,AYT,763,340,272,48,Wide_Body,1500,1840,2000,2019-08-16 23:50:00,2019-08-17 00:10:00,2019-08-17 01:10:00,2019-08-17 01:10:00,ID,2019-08-17 01:10:00,2019-08-16 23:50:00,2100,2100,Телетрап
